meter_id,zone_id,customer_type,contracted_capacity_kva,baseline_avg_kwh,monitoring_avg_kwh,monitoring_std_kwh,min_14d_rolling_kwh,alarm_count_cover_open,alarm_count_magnetic_tamper,alarm_count_reverse_energy,alarm_count_tilt,total_alarms,drop_ratio,min_drop_ratio
MTR-00001,ZONE-01,residential,15,11.505500000000001,11.400666666666666,1.2513184531319195,10.19,0.0,0.0,0.0,0.0,0.0,0.009111584314748233,0.11433662161574909
MTR-00002,ZONE-08,commercial,25,54.9065,55.930749999999996,5.863131947986144,45.13,0.0,0.0,0.0,0.0,0.0,-0.01865443982042181,0.17805724276724977
MTR-00003,ZONE-07,industrial,150,340.0068333333333,354.3951666666666,39.66734634883639,294.71,0.0,0.0,0.0,0.0,0.0,-0.04231777694663985,0.1332233028649914
MTR-00004,ZONE-05,industrial,150,234.5105,239.46533333333335,27.370247446197972,179.99,0.0,0.0,0.0,0.0,0.0,-0.02112840718574782,0.23248639186731512
MTR-00005,ZONE-05,residential,5,16.581333333333333,17.073500000000003,2.014800551048218,15.94,0.0,1.0,0.0,0.0,1.0,-0.029681971695078913,0.03867803152138949
MTR-00006,ZONE-09,residential,15,23.845666666666666,23.702416666666668,2.4579225346366202,18.31,0.0,0.0,0.0,0.0,0.0,0.0060073807959516445,0.23214560297468445
MTR-00007,ZONE-01,residential,15,17.794,18.19025,1.9287695657633959,17.22,1.0,0.0,0.0,0.0,1.0,-0.022268742272676167,0.032258064516129115
MTR-00008,ZONE-07,residential,10,11.385333333333334,11.617083333333333,1.202894545300978,10.45,0.0,0.0,0.0,0.0,0.0,-0.020355135261740154,0.08215247687082805
MTR-00009,ZONE-03,residential,15,10.976333333333335,10.913583333333333,1.1011489765819387,9.01,0.0,0.0,0.0,0.0,0.0,0.005716845333900267,0.17914300464636046
MTR-00010,ZONE-01,residential,10,16.2545,16.519416666666665,1.783667874194682,15.1,0.0,0.0,0.0,0.0,0.0,-0.016298050796189623,0.07102648497339203
MTR-00011,ZONE-06,industrial,150,203.55383333333333,205.5955,21.843911670276086,197.8192857142857,0.0,0.0,0.0,0.0,0.0,-0.010030106695771757,0.028172142598056116
MTR-00012,ZONE-10,commercial,25,71.70533333333333,71.90491666666667,7.596089108277776,64.18,1.0,0.0,0.0,1.0,2.0,-0.0027833819892524314,0.10494802804068482
MTR-00013,ZONE-08,industrial,100,293.019,296.7069166666667,32.03184969081313,248.84,0.0,0.0,0.0,0.0,0.0,-0.012585930150149638,0.15077179295540566
MTR-00014,ZONE-08,industrial,200,265.64816666666667,277.2346666666666,29.026291586237807,246.0,0.0,0.0,1.0,0.0,1.0,-0.04361596070993623,0.07396311788336574
MTR-00015,ZONE-08,industrial,150,279.88349999999997,279.52733333333333,29.073309187549416,248.8,0.0,0.0,0.0,0.0,0.0,0.0012725532825859087,0.11105870835544063
MTR-00016,ZONE-08,residential,15,15.363166666666666,15.546833333333332,1.4763160961278838,13.26,1.0,0.0,0.0,0.0,1.0,-0.0119550005966651,0.1368966901354972
MTR-00017,ZONE-06,industrial,150,328.75933333333336,336.0409166666667,31.383023939538326,306.97,0.0,0.0,0.0,0.0,0.0,-0.022148674106083677,0.06627745929646611
MTR-00018,ZONE-02,residential,10,8.6765,8.836,0.9297640434382207,8.2,0.0,0.0,0.0,0.0,0.0,-0.018382988532242184,0.05491845790353267
