meter_id,date,alarm_type
MTR-00005,2025-02-28,magnetic_tamper
MTR-00007,2025-01-06,cover_open
MTR-00012,2025-03-22,cover_open
MTR-00012,2025-04-19,tilt
MTR-00014,2025-02-04,reverse_energy
MTR-00016,2025-04-19,cover_open
MTR-00020,2025-06-17,cover_open
MTR-00021,2025-06-04,tilt
MTR-00024,2025-03-19,reverse_energy
MTR-00025,2025-03-13,magnetic_tamper
MTR-00029,2025-04-29,tilt
MTR-00030,2025-03-31,magnetic_tamper
MTR-00030,2025-04-04,cover_open
MTR-00030,2025-04-14,tilt
MTR-00031,2025-04-16,magnetic_tamper
MTR-00033,2025-04-07,cover_open
MTR-00036,2025-05-30,cover_open
MTR-00039,2025-01-08,cover_open
MTR-00040,2025-06-22,cover_open
MTR-00042,2025-05-06,tilt
MTR-00042,2025-05-09,magnetic_tamper
MTR-00042,2025-05-12,magnetic_tamper
MTR-00042,2025-05-15,tilt
MTR-00042,2025-05-16,cover_open
MTR-00042,2025-05-17,cover_open
MTR-00042,2025-05-18,cover_open
MTR-00043,2025-05-02,tilt
MTR-00044,2025-05-30,reverse_energy
MTR-00044,2025-06-01,magnetic_tamper
MTR-00046,2025-05-14,tilt
MTR-00046,2025-05-17,cover_open
MTR-00049,2025-03-28,magnetic_tamper
MTR-00049,2025-04-07,magnetic_tamper
MTR-00049,2025-04-08,magnetic_tamper
MTR-00053,2025-05-30,cover_open
MTR-00053,2025-06-05,cover_open
MTR-00053,2025-06-11,reverse_energy
MTR-00053,2025-06-16,tilt
MTR-00056,2025-05-26,cover_open
MTR-00056,2025-06-12,cover_open
MTR-00057,2025-04-14,reverse_energy
MTR-00057,2025-06-20,reverse_energy
MTR-00058,2025-01-09,tilt
MTR-00059,2025-04-06,magnetic_tamper
MTR-00061,2025-06-02,tilt
MTR-00062,2025-03-16,tilt
MTR-00065,2025-04-04,tilt
MTR-00065,2025-04-05,cover_open
MTR-00065,2025-04-06,magnetic_tamper
MTR-00065,2025-04-07,reverse_energy
MTR-00065,2025-04-08,cover_open
MTR-00065,2025-04-13,magnetic_tamper
MTR-00065,2025-04-14,magnetic_tamper
MTR-00065,2025-04-15,tilt
MTR-00067,2025-01-15,reverse_energy
MTR-00068,2025-03-05,tilt
MTR-00068,2025-03-23,cover_open
MTR-00071,2025-01-22,cover_open
MTR-00076,2025-06-22,magnetic_tamper
MTR-00079,2025-04-15,cover_open
MTR-00083,2025-03-10,magnetic_tamper
MTR-00083,2025-03-14,reverse_energy
MTR-00086,2025-03-26,reverse_energy
MTR-00087,2025-04-09,tilt
MTR-00087,2025-05-19,reverse_energy
MTR-00089,2025-03-03,reverse_energy
MTR-00089,2025-05-16,magnetic_tamper
MTR-00092,2025-04-13,magnetic_tamper
MTR-00092,2025-04-15,tilt
MTR-00092,2025-04-16,magnetic_tamper
MTR-00092,2025-04-20,tilt
MTR-00093,2025-03-26,reverse_energy
MTR-00098,2025-05-06,cover_open
MTR-00100,2025-03-05,reverse_energy
MTR-00100,2025-03-15,tilt
MTR-00100,2025-03-17,cover_open
MTR-00100,2025-03-21,cover_open
MTR-00100,2025-03-27,magnetic_tamper
MTR-00100,2025-03-28,tilt
MTR-00100,2025-03-30,cover_open
MTR-00107,2025-06-21,tilt
MTR-00115,2025-04-24,reverse_energy
MTR-00116,2025-03-10,magnetic_tamper
MTR-00117,2025-03-25,reverse_energy
MTR-00127,2025-01-05,magnetic_tamper
