meter_id,date,kwh_consumed
MTR-00001,2025-01-01,11.23
MTR-00001,2025-01-02,11.55
MTR-00001,2025-01-03,12.29
MTR-00001,2025-01-04,10.4
MTR-00001,2025-01-05,11.09
MTR-00001,2025-01-06,12.05
MTR-00001,2025-01-07,11.73
MTR-00001,2025-01-08,13.24
MTR-00001,2025-01-09,11.52
MTR-00001,2025-01-10,9.7
MTR-00001,2025-01-11,10.62
MTR-00001,2025-01-12,10.19
MTR-00001,2025-01-13,11.74
MTR-00001,2025-01-14,12.55
MTR-00001,2025-01-15,11.37
MTR-00001,2025-01-16,9.79
MTR-00001,2025-01-17,12.6
MTR-00001,2025-01-18,9.51
MTR-00001,2025-01-19,9.27
MTR-00001,2025-01-20,9.86
MTR-00001,2025-01-21,12.56
MTR-00001,2025-01-22,9.5
MTR-00001,2025-01-23,13.03
MTR-00001,2025-01-24,11.54
MTR-00001,2025-01-25,10.75
MTR-00001,2025-01-26,10.43
MTR-00001,2025-01-27,13.65
MTR-00001,2025-01-28,12.27
MTR-00001,2025-01-29,13.05
MTR-00001,2025-01-30,11.39
MTR-00001,2025-01-31,10.44
MTR-00001,2025-02-01,10.94
MTR-00001,2025-02-02,8.87
MTR-00001,2025-02-03,12.67
MTR-00001,2025-02-04,10.94
MTR-00001,2025-02-05,12.24
MTR-00001,2025-02-06,13.77
MTR-00001,2025-02-07,12.62
MTR-00001,2025-02-08,10.03
MTR-00001,2025-02-09,10.56
MTR-00001,2025-02-10,11.51
MTR-00001,2025-02-11,14.25
MTR-00001,2025-02-12,11.33
MTR-00001,2025-02-13,11.93
MTR-00001,2025-02-14,12.59
MTR-00001,2025-02-15,10.54
MTR-00001,2025-02-16,10.63
MTR-00001,2025-02-17,11.58
MTR-00001,2025-02-18,11.83
MTR-00001,2025-02-19,12.97
MTR-00001,2025-02-20,12.92
MTR-00001,2025-02-21,12.46
MTR-00001,2025-02-22,11.38
MTR-00001,2025-02-23,11.08
MTR-00001,2025-02-24,12.92
MTR-00001,2025-02-25,10.56
MTR-00001,2025-02-26,12.48
MTR-00001,2025-02-27,12.3
MTR-00001,2025-02-28,13.57
MTR-00001,2025-03-01,7.95
MTR-00001,2025-03-02,10.19
MTR-00001,2025-03-03,12.24
MTR-00001,2025-03-04,11.1
MTR-00001,2025-03-05,11.27
MTR-00001,2025-03-06,13.6
MTR-00001,2025-03-07,12.62
MTR-00001,2025-03-08,11.89
MTR-00001,2025-03-09,10.2
MTR-00001,2025-03-10,10.81
MTR-00001,2025-03-11,11.87
MTR-00001,2025-03-12,11.71
MTR-00001,2025-03-13,12.87
MTR-00001,2025-03-14,12.83
MTR-00001,2025-03-15,10.8
MTR-00001,2025-03-16,12.22
MTR-00001,2025-03-17,13.44
MTR-00001,2025-03-18,11.38
MTR-00001,2025-03-19,13.18
MTR-00001,2025-03-20,12.24
MTR-00001,2025-03-21,12.01
MTR-00001,2025-03-22,11.55
MTR-00001,2025-03-23,9.63
MTR-00001,2025-03-24,13.12
MTR-00001,2025-03-25,12.95
MTR-00001,2025-03-26,11.32
MTR-00001,2025-03-27,10.63
MTR-00001,2025-03-28,12.15
MTR-00001,2025-03-29,7.94
MTR-00001,2025-03-30,11.33
MTR-00001,2025-03-31,12.58
MTR-00001,2025-04-01,13.64
MTR-00001,2025-04-02,12.51
MTR-00001,2025-04-03,13.71
MTR-00001,2025-04-04,11.65
MTR-00001,2025-04-05,10.82
MTR-00001,2025-04-06,10.07
MTR-00001,2025-04-07,12.12
MTR-00001,2025-04-08,12.32
MTR-00001,2025-04-09,12.58
MTR-00001,2025-04-10,11.52
MTR-00001,2025-04-11,12.67
MTR-00001,2025-04-12,10.42
MTR-00001,2025-04-13,9.26
MTR-00001,2025-04-14,10.49
MTR-00001,2025-04-15,13.31
MTR-00001,2025-04-16,10.0
MTR-00001,2025-04-17,12.05
MTR-00001,2025-04-18,10.79
MTR-00001,2025-04-19,11.79
MTR-00001,2025-04-20,10.84
MTR-00001,2025-04-21,12.52
MTR-00001,2025-04-22,11.41
MTR-00001,2025-04-23,10.85
MTR-00001,2025-04-24,12.36
MTR-00001,2025-04-25,12.16
MTR-00001,2025-04-26,9.47
MTR-00001,2025-04-27,9.44
MTR-00001,2025-04-28,11.05
MTR-00001,2025-04-29,11.02
MTR-00001,2025-04-30,11.56
MTR-00001,2025-05-01,12.48
MTR-00001,2025-05-02,12.64
MTR-00001,2025-05-03,10.29
MTR-00001,2025-05-04,10.43
MTR-00001,2025-05-05,12.67
MTR-00001,2025-05-06,10.19
MTR-00001,2025-05-07,12.33
MTR-00001,2025-05-08,13.4
MTR-00001,2025-05-09,10.24
MTR-00001,2025-05-10,8.03
MTR-00001,2025-05-11,10.13
MTR-00001,2025-05-12,13.14
MTR-00001,2025-05-13,11.93
MTR-00001,2025-05-14,12.68
MTR-00001,2025-05-15,12.38
MTR-00001,2025-05-16,10.95
MTR-00001,2025-05-17,9.47
MTR-00001,2025-05-18,8.87
MTR-00001,2025-05-19,13.51
MTR-00001,2025-05-20,12.85
MTR-00001,2025-05-21,11.94
MTR-00001,2025-05-22,11.8
MTR-00001,2025-05-23,11.25
MTR-00001,2025-05-24,10.53
MTR-00001,2025-05-25,9.61
MTR-00001,2025-05-26,11.65
MTR-00001,2025-05-27,11.39
MTR-00001,2025-05-28,12.72
MTR-00001,2025-05-29,11.83
MTR-00001,2025-05-30,12.1
MTR-00001,2025-05-31,9.23
MTR-00001,2025-06-01,9.64
MTR-00001,2025-06-02,12.09
MTR-00001,2025-06-03,10.42
MTR-00001,2025-06-04,11.71
MTR-00001,2025-06-05,11.9
MTR-00001,2025-06-06,10.7
MTR-00001,2025-06-07,10.94
MTR-00001,2025-06-08,10.38
MTR-00001,2025-06-09,11.73
MTR-00001,2025-06-10,11.2
MTR-00001,2025-06-11,10.32
MTR-00001,2025-06-12,12.74
MTR-00001,2025-06-13,11.41
MTR-00001,2025-06-14,8.92
MTR-00001,2025-06-15,9.46
MTR-00001,2025-06-16,12.24
MTR-00001,2025-06-17,12.03
MTR-00001,2025-06-18,10.78
MTR-00001,2025-06-19,12.85
MTR-00001,2025-06-20,10.43
MTR-00001,2025-06-21,11.08
MTR-00001,2025-06-22,10.15
MTR-00001,2025-06-23,11.38
MTR-00001,2025-06-24,11.5
MTR-00001,2025-06-25,11.8
MTR-00001,2025-06-26,12.21
MTR-00001,2025-06-27,10.04
MTR-00001,2025-06-28,9.33
MTR-00001,2025-06-29,9.97
MTR-00002,2025-01-01,57.75
MTR-00002,2025-01-02,46.25
MTR-00002,2025-01-03,58.68
MTR-00002,2025-01-04,43.74
MTR-00002,2025-01-05,49.08
MTR-00002,2025-01-06,58.41
MTR-00002,2025-01-07,49.09
MTR-00002,2025-01-08,57.25
MTR-00002,2025-01-09,50.53
MTR-00002,2025-01-10,46.24
MTR-00002,2025-01-11,42.94
MTR-00002,2025-01-12,48.33
MTR-00002,2025-01-13,56.64
MTR-00002,2025-01-14,55.18
MTR-00002,2025-01-15,60.02
MTR-00002,2025-01-16,56.51
MTR-00002,2025-01-17,59.44
MTR-00002,2025-01-18,51.99
MTR-00002,2025-01-19,58.45
MTR-00002,2025-01-20,57.31
MTR-00002,2025-01-21,63.35
MTR-00002,2025-01-22,58.92
MTR-00002,2025-01-23,59.23
MTR-00002,2025-01-24,57.56
MTR-00002,2025-01-25,49.85
MTR-00002,2025-01-26,48.45
MTR-00002,2025-01-27,62.7
MTR-00002,2025-01-28,54.77
MTR-00002,2025-01-29,51.21
MTR-00002,2025-01-30,55.73
MTR-00002,2025-01-31,55.3
MTR-00002,2025-02-01,47.44
MTR-00002,2025-02-02,49.05
MTR-00002,2025-02-03,55.91
MTR-00002,2025-02-04,57.72
MTR-00002,2025-02-05,56.0
MTR-00002,2025-02-06,60.45
MTR-00002,2025-02-07,69.69
MTR-00002,2025-02-08,50.63
MTR-00002,2025-02-09,47.88
MTR-00002,2025-02-10,47.77
MTR-00002,2025-02-11,67.66
MTR-00002,2025-02-12,59.98
MTR-00002,2025-02-13,58.02
MTR-00002,2025-02-14,48.12
MTR-00002,2025-02-15,49.58
MTR-00002,2025-02-16,50.57
MTR-00002,2025-02-17,56.44
MTR-00002,2025-02-18,52.65
MTR-00002,2025-02-19,52.4
MTR-00002,2025-02-20,68.11
MTR-00002,2025-02-21,59.52
MTR-00002,2025-02-22,48.1
MTR-00002,2025-02-23,50.41
MTR-00002,2025-02-24,59.01
MTR-00002,2025-02-25,52.36
MTR-00002,2025-02-26,63.54
MTR-00002,2025-02-27,58.34
MTR-00002,2025-02-28,59.79
MTR-00002,2025-03-01,56.35
MTR-00002,2025-03-02,45.13
MTR-00002,2025-03-03,55.66
MTR-00002,2025-03-04,60.86
MTR-00002,2025-03-05,63.63
MTR-00002,2025-03-06,56.47
MTR-00002,2025-03-07,56.74
MTR-00002,2025-03-08,53.08
MTR-00002,2025-03-09,59.72
MTR-00002,2025-03-10,59.83
MTR-00002,2025-03-11,55.81
MTR-00002,2025-03-12,54.5
MTR-00002,2025-03-13,58.86
MTR-00002,2025-03-14,63.58
MTR-00002,2025-03-15,62.03
MTR-00002,2025-03-16,49.39
MTR-00002,2025-03-17,59.95
MTR-00002,2025-03-18,67.76
MTR-00002,2025-03-19,61.05
MTR-00002,2025-03-20,60.65
MTR-00002,2025-03-21,66.63
MTR-00002,2025-03-22,51.1
MTR-00002,2025-03-23,46.73
MTR-00002,2025-03-24,65.47
MTR-00002,2025-03-25,52.09
MTR-00002,2025-03-26,64.55
MTR-00002,2025-03-27,59.66
MTR-00002,2025-03-28,58.27
MTR-00002,2025-03-29,49.43
