meter_id,zone_id,customer_type,contracted_capacity_kva
MTR-00001,ZONE-01,residential,15
MTR-00002,ZONE-08,commercial,25
MTR-00003,ZONE-07,industrial,150
MTR-00004,ZONE-05,industrial,150
MTR-00005,ZONE-05,residential,5
MTR-00006,ZONE-09,residential,15
MTR-00007,ZONE-01,residential,15
MTR-00008,ZONE-07,residential,10
MTR-00009,ZONE-03,residential,15
MTR-00010,ZONE-01,residential,10
MTR-00011,ZONE-06,industrial,150
MTR-00012,ZONE-10,commercial,25
MTR-00013,ZONE-08,industrial,100
MTR-00014,ZONE-08,industrial,200
MTR-00015,ZONE-08,industrial,150
MTR-00016,ZONE-08,residential,15
MTR-00017,ZONE-06,industrial,150
MTR-00018,ZONE-02,residential,10
MTR-00019,ZONE-09,residential,5
MTR-00020,ZONE-05,residential,5
MTR-00021,ZONE-06,residential,5
MTR-00022,ZONE-04,residential,5
MTR-00023,ZONE-02,residential,15
MTR-00024,ZONE-10,industrial,150
MTR-00025,ZONE-08,residential,15
MTR-00026,ZONE-07,residential,5
MTR-00027,ZONE-05,industrial,150
MTR-00028,ZONE-09,residential,5
MTR-00029,ZONE-06,industrial,150
MTR-00030,ZONE-05,industrial,150
MTR-00031,ZONE-05,residential,10
MTR-00032,ZONE-03,residential,5
MTR-00033,ZONE-01,residential,15
MTR-00034,ZONE-06,residential,5
MTR-00035,ZONE-09,residential,5
MTR-00036,ZONE-01,residential,15
MTR-00037,ZONE-09,residential,15
MTR-00038,ZONE-09,residential,5
MTR-00039,ZONE-03,residential,10
MTR-00040,ZONE-07,residential,15
MTR-00041,ZONE-02,commercial,50
MTR-00042,ZONE-08,residential,15
MTR-00043,ZONE-08,residential,10
MTR-00044,ZONE-04,residential,10
MTR-00045,ZONE-01,industrial,100
MTR-00046,ZONE-10,residential,5
MTR-00047,ZONE-05,residential,5
MTR-00048,ZONE-09,residential,10
MTR-00049,ZONE-07,residential,15
MTR-00050,ZONE-08,commercial,25
MTR-00051,ZONE-08,industrial,100
MTR-00052,ZONE-02,residential,10
MTR-00053,ZONE-04,industrial,150
MTR-00054,ZONE-05,residential,15
MTR-00055,ZONE-05,industrial,200
MTR-00056,ZONE-01,residential,15
MTR-00057,ZONE-06,commercial,75
MTR-00058,ZONE-02,industrial,200
MTR-00059,ZONE-08,commercial,75
MTR-00060,ZONE-07,industrial,150
MTR-00061,ZONE-10,residential,15
MTR-00062,ZONE-08,residential,15
MTR-00063,ZONE-04,residential,5
MTR-00064,ZONE-10,residential,15
MTR-00065,ZONE-05,industrial,150
MTR-00066,ZONE-04,residential,10
MTR-00067,ZONE-10,residential,15
MTR-00068,ZONE-04,residential,10
MTR-00069,ZONE-01,commercial,75
MTR-00070,ZONE-05,residential,5
MTR-00071,ZONE-08,industrial,100
MTR-00072,ZONE-02,residential,5
MTR-00073,ZONE-05,residential,15
MTR-00074,ZONE-02,residential,10
MTR-00075,ZONE-07,residential,10
MTR-00076,ZONE-05,residential,5
MTR-00077,ZONE-04,industrial,150
MTR-00078,ZONE-03,residential,5
MTR-00079,ZONE-06,industrial,100
MTR-00080,ZONE-07,residential,15
MTR-00081,ZONE-10,residential,15
MTR-00082,ZONE-05,industrial,100
MTR-00083,ZONE-02,residential,15
MTR-00084,ZONE-09,residential,10
MTR-00085,ZONE-07,residential,5
MTR-00086,ZONE-08,industrial,150
MTR-00087,ZONE-01,commercial,75
MTR-00088,ZONE-04,residential,15
MTR-00089,ZONE-08,industrial,100
MTR-00090,ZONE-09,industrial,100
MTR-00091,ZONE-05,industrial,200
MTR-00092,ZONE-09,industrial,100
MTR-00093,ZONE-09,residential,15
MTR-00094,ZONE-04,industrial,100
MTR-00095,ZONE-09,residential,5
MTR-00096,ZONE-03,industrial,200
MTR-00097,ZONE-03,residential,15
MTR-00098,ZONE-07,commercial,75
MTR-00099,ZONE-07,commercial,75
MTR-00100,ZONE-02,commercial,75
MTR-00101,ZONE-09,commercial,25
MTR-00102,ZONE-02,commercial,75
MTR-00103,ZONE-09,commercial,75
MTR-00104,ZONE-01,residential,5
MTR-00105,ZONE-08,industrial,200
MTR-00106,ZONE-08,residential,5
MTR-00107,ZONE-08,residential,5
MTR-00108,ZONE-07,residential,15
MTR-00109,ZONE-05,industrial,100
MTR-00110,ZONE-08,industrial,100
MTR-00111,ZONE-03,industrial,100
MTR-00112,ZONE-08,residential,5
MTR-00113,ZONE-06,commercial,75
MTR-00114,ZONE-05,residential,5
MTR-00115,ZONE-06,commercial,25
MTR-00116,ZONE-06,commercial,25
MTR-00117,ZONE-01,residential,15
MTR-00118,ZONE-02,residential,10
MTR-00119,ZONE-03,residential,15
MTR-00120,ZONE-02,residential,10
MTR-00121,ZONE-05,residential,5
MTR-00122,ZONE-07,residential,5
MTR-00123,ZONE-07,residential,5
MTR-00124,ZONE-05,residential,5
MTR-00125,ZONE-09,commercial,50
MTR-00126,ZONE-06,residential,15
MTR-00127,ZONE-01,residential,15
MTR-00128,ZONE-08,residential,10
MTR-00129,ZONE-06,residential,10
MTR-00130,ZONE-07,residential,10
MTR-00131,ZONE-06,commercial,50
MTR-00132,ZONE-06,residential,15
MTR-00133,ZONE-01,residential,15
MTR-00134,ZONE-06,residential,15
MTR-00135,ZONE-08,residential,10
MTR-00136,ZONE-04,commercial,50
MTR-00137,ZONE-07,residential,15
MTR-00138,ZONE-01,residential,10
MTR-00139,ZONE-04,commercial,25
MTR-00140,ZONE-05,industrial,150
MTR-00141,ZONE-10,commercial,75
MTR-00142,ZONE-03,industrial,200
MTR-00143,ZONE-03,industrial,200
MTR-00144,ZONE-05,residential,15
MTR-00145,ZONE-10,commercial,25
MTR-00146,ZONE-09,residential,10
MTR-00147,ZONE-01,residential,10
MTR-00148,ZONE-03,residential,15
MTR-00149,ZONE-09,industrial,200
MTR-00150,ZONE-01,industrial,200
MTR-00151,ZONE-09,residential,10
MTR-00152,ZONE-03,commercial,25
MTR-00153,ZONE-10,residential,10
MTR-00154,ZONE-03,industrial,150
MTR-00155,ZONE-05,residential,5
MTR-00156,ZONE-07,residential,10
MTR-00157,ZONE-02,commercial,75
MTR-00158,ZONE-06,commercial,75
MTR-00159,ZONE-06,residential,10
MTR-00160,ZONE-08,residential,10
MTR-00161,ZONE-10,residential,10
MTR-00162,ZONE-07,commercial,50
MTR-00163,ZONE-05,residential,15
MTR-00164,ZONE-05,residential,10
MTR-00165,ZONE-05,residential,10
MTR-00166,ZONE-09,commercial,50
MTR-00167,ZONE-04,residential,5
MTR-00168,ZONE-02,industrial,200
MTR-00169,ZONE-04,industrial,200
MTR-00170,ZONE-01,residential,15
MTR-00171,ZONE-02,industrial,100
MTR-00172,ZONE-01,commercial,50
MTR-00173,ZONE-08,commercial,25
MTR-00174,ZONE-08,residential,5
MTR-00175,ZONE-07,commercial,75
MTR-00176,ZONE-05,commercial,75
MTR-00177,ZONE-08,residential,5
MTR-00178,ZONE-02,residential,5
MTR-00179,ZONE-10,residential,5
MTR-00180,ZONE-06,industrial,150
MTR-00181,ZONE-10,commercial,75
MTR-00182,ZONE-02,residential,15
MTR-00183,ZONE-05,industrial,150
MTR-00184,ZONE-07,industrial,150
MTR-00185,ZONE-05,residential,10
MTR-00186,ZONE-05,industrial,100
MTR-00187,ZONE-02,residential,5
MTR-00188,ZONE-04,residential,10
MTR-00189,ZONE-03,residential,10
MTR-00190,ZONE-04,commercial,25
MTR-00191,ZONE-07,industrial,150
MTR-00192,ZONE-07,commercial,75
MTR-00193,ZONE-07,industrial,100
MTR-00194,ZONE-04,industrial,100
MTR-00195,ZONE-10,residential,10
MTR-00196,ZONE-01,residential,10
MTR-00197,ZONE-04,commercial,50
MTR-00198,ZONE-02,residential,15
MTR-00199,ZONE-04,residential,15
MTR-00200,ZONE-10,residential,10
MTR-00201,ZONE-04,residential,15
MTR-00202,ZONE-10,commercial,25
MTR-00203,ZONE-05,residential,15
MTR-00204,ZONE-07,residential,15
MTR-00205,ZONE-05,residential,10
MTR-00206,ZONE-03,residential,15
MTR-00207,ZONE-08,residential,10
MTR-00208,ZONE-10,residential,15
MTR-00209,ZONE-03,residential,5
MTR-00210,ZONE-08,residential,15
MTR-00211,ZONE-03,commercial,50
MTR-00212,ZONE-08,residential,15
MTR-00213,ZONE-08,commercial,75
MTR-00214,ZONE-05,commercial,75
MTR-00215,ZONE-08,industrial,100
MTR-00216,ZONE-03,commercial,75
MTR-00217,ZONE-01,residential,10
MTR-00218,ZONE-01,residential,15
MTR-00219,ZONE-05,residential,15
MTR-00220,ZONE-10,residential,10
MTR-00221,ZONE-02,residential,10
MTR-00222,ZONE-05,industrial,100
MTR-00223,ZONE-08,industrial,100
MTR-00224,ZONE-03,residential,10
MTR-00225,ZONE-08,commercial,50
MTR-00226,ZONE-04,residential,15
MTR-00227,ZONE-09,commercial,75
MTR-00228,ZONE-06,residential,15
MTR-00229,ZONE-06,residential,5
MTR-00230,ZONE-02,commercial,25
MTR-00231,ZONE-05,commercial,75
MTR-00232,ZONE-09,residential,15
MTR-00233,ZONE-01,industrial,200
MTR-00234,ZONE-08,commercial,75
MTR-00235,ZONE-05,residential,10
MTR-00236,ZONE-08,commercial,75
MTR-00237,ZONE-07,commercial,50
MTR-00238,ZONE-05,residential,5
MTR-00239,ZONE-04,commercial,25
MTR-00240,ZONE-07,industrial,200
MTR-00241,ZONE-02,industrial,100
MTR-00242,ZONE-06,commercial,75
MTR-00243,ZONE-01,commercial,50
MTR-00244,ZONE-07,residential,10
MTR-00245,ZONE-07,commercial,25
MTR-00246,ZONE-01,residential,15
MTR-00247,ZONE-08,residential,15
MTR-00248,ZONE-05,residential,10
MTR-00249,ZONE-08,residential,5
MTR-00250,ZONE-01,residential,15
MTR-00251,ZONE-02,industrial,150
MTR-00252,ZONE-05,residential,10
MTR-00253,ZONE-02,residential,5
MTR-00254,ZONE-04,industrial,150
MTR-00255,ZONE-07,residential,10
MTR-00256,ZONE-02,residential,5
MTR-00257,ZONE-07,commercial,50
MTR-00258,ZONE-02,residential,10
MTR-00259,ZONE-02,residential,10
MTR-00260,ZONE-06,commercial,50
MTR-00261,ZONE-08,residential,5
MTR-00262,ZONE-02,residential,15
MTR-00263,ZONE-03,industrial,100
MTR-00264,ZONE-10,industrial,150
MTR-00265,ZONE-10,residential,5
MTR-00266,ZONE-06,commercial,75
MTR-00267,ZONE-05,commercial,50
MTR-00268,ZONE-04,residential,10
MTR-00269,ZONE-07,residential,15
MTR-00270,ZONE-06,residential,5
MTR-00271,ZONE-03,commercial,50
MTR-00272,ZONE-01,industrial,100
MTR-00273,ZONE-02,residential,15
MTR-00274,ZONE-10,commercial,50
MTR-00275,ZONE-05,industrial,100
MTR-00276,ZONE-05,industrial,150
MTR-00277,ZONE-05,residential,10
MTR-00278,ZONE-08,residential,15
MTR-00279,ZONE-01,residential,5
MTR-00280,ZONE-01,industrial,200
MTR-00281,ZONE-03,industrial,200
MTR-00282,ZONE-05,commercial,50
MTR-00283,ZONE-07,residential,10
MTR-00284,ZONE-05,residential,15
MTR-00285,ZONE-05,residential,10
MTR-00286,ZONE-10,residential,5
MTR-00287,ZONE-02,residential,15
MTR-00288,ZONE-06,commercial,25
MTR-00289,ZONE-06,residential,5
MTR-00290,ZONE-05,residential,10
MTR-00291,ZONE-09,residential,5
MTR-00292,ZONE-03,residential,15
MTR-00293,ZONE-10,commercial,50
MTR-00294,ZONE-04,industrial,200
MTR-00295,ZONE-06,residential,15
MTR-00296,ZONE-06,residential,10
MTR-00297,ZONE-09,industrial,100
MTR-00298,ZONE-05,residential,15
MTR-00299,ZONE-03,residential,10
MTR-00300,ZONE-01,residential,5
MTR-00301,ZONE-04,residential,15
MTR-00302,ZONE-09,residential,10
MTR-00303,ZONE-01,residential,15
MTR-00304,ZONE-09,industrial,200
MTR-00305,ZONE-06,commercial,25
MTR-00306,ZONE-02,commercial,25
MTR-00307,ZONE-04,residential,5
MTR-00308,ZONE-06,residential,5
MTR-00309,ZONE-04,residential,10
MTR-00310,ZONE-02,industrial,150
MTR-00311,ZONE-07,residential,10
MTR-00312,ZONE-07,industrial,100
MTR-00313,ZONE-02,commercial,75
MTR-00314,ZONE-03,residential,15
MTR-00315,ZONE-03,commercial,75
MTR-00316,ZONE-07,industrial,100
MTR-00317,ZONE-08,residential,15
MTR-00318,ZONE-08,residential,10
MTR-00319,ZONE-10,commercial,25
MTR-00320,ZONE-08,industrial,200
MTR-00321,ZONE-04,residential,5
MTR-00322,ZONE-02,commercial,75
MTR-00323,ZONE-07,residential,10
MTR-00324,ZONE-10,commercial,75
MTR-00325,ZONE-10,commercial,75
MTR-00326,ZONE-03,residential,5
MTR-00327,ZONE-03,commercial,25
MTR-00328,ZONE-01,industrial,100
MTR-00329,ZONE-02,industrial,100
MTR-00330,ZONE-06,residential,10
MTR-00331,ZONE-06,residential,10
MTR-00332,ZONE-04,residential,15
MTR-00333,ZONE-04,residential,10
MTR-00334,ZONE-09,residential,15
MTR-00335,ZONE-05,industrial,150
MTR-00336,ZONE-09,commercial,25
MTR-00337,ZONE-10,industrial,150
MTR-00338,ZONE-04,residential,5
MTR-00339,ZONE-03,residential,15
MTR-00340,ZONE-10,industrial,100
MTR-00341,ZONE-07,residential,10
MTR-00342,ZONE-03,commercial,25
MTR-00343,ZONE-07,industrial,150
MTR-00344,ZONE-06,residential,10
MTR-00345,ZONE-10,residential,5
MTR-00346,ZONE-03,residential,15
MTR-00347,ZONE-10,residential,15
MTR-00348,ZONE-10,residential,15
MTR-00349,ZONE-02,industrial,100
MTR-00350,ZONE-02,commercial,25
MTR-00351,ZONE-06,industrial,150
MTR-00352,ZONE-01,industrial,200
MTR-00353,ZONE-03,industrial,200
MTR-00354,ZONE-05,residential,15
MTR-00355,ZONE-10,residential,5
MTR-00356,ZONE-10,industrial,150
MTR-00357,ZONE-02,residential,10
MTR-00358,ZONE-09,residential,5
MTR-00359,ZONE-01,commercial,50
MTR-00360,ZONE-08,industrial,100
MTR-00361,ZONE-09,industrial,150
MTR-00362,ZONE-09,industrial,200
MTR-00363,ZONE-03,residential,10
MTR-00364,ZONE-09,commercial,50
MTR-00365,ZONE-02,industrial,200
MTR-00366,ZONE-06,commercial,50
MTR-00367,ZONE-05,industrial,150
MTR-00368,ZONE-04,industrial,100
MTR-00369,ZONE-01,residential,15
MTR-00370,ZONE-08,residential,10
MTR-00371,ZONE-04,residential,15
MTR-00372,ZONE-07,residential,10
MTR-00373,ZONE-05,residential,10
MTR-00374,ZONE-04,residential,10
MTR-00375,ZONE-09,commercial,50
MTR-00376,ZONE-01,residential,15
MTR-00377,ZONE-08,residential,15
MTR-00378,ZONE-08,commercial,75
MTR-00379,ZONE-04,residential,10
MTR-00380,ZONE-03,commercial,25
MTR-00381,ZONE-01,residential,15
MTR-00382,ZONE-10,industrial,150
MTR-00383,ZONE-10,residential,10
MTR-00384,ZONE-03,residential,15
MTR-00385,ZONE-01,industrial,100
MTR-00386,ZONE-02,commercial,25
MTR-00387,ZONE-01,residential,10
MTR-00388,ZONE-09,residential,5
MTR-00389,ZONE-09,residential,15
MTR-00390,ZONE-02,residential,15
MTR-00391,ZONE-08,residential,5
MTR-00392,ZONE-02,commercial,25
MTR-00393,ZONE-04,residential,15
MTR-00394,ZONE-06,industrial,100
MTR-00395,ZONE-08,commercial,25
MTR-00396,ZONE-09,commercial,75
MTR-00397,ZONE-01,residential,10
MTR-00398,ZONE-02,residential,10
MTR-00399,ZONE-03,residential,5
MTR-00400,ZONE-04,commercial,50
MTR-00401,ZONE-10,residential,15
MTR-00402,ZONE-08,residential,5
MTR-00403,ZONE-04,residential,5
MTR-00404,ZONE-10,industrial,150
MTR-00405,ZONE-05,residential,5
MTR-00406,ZONE-06,commercial,25
MTR-00407,ZONE-05,residential,10
MTR-00408,ZONE-02,residential,15
MTR-00409,ZONE-10,residential,5
MTR-00410,ZONE-01,residential,5
MTR-00411,ZONE-02,commercial,25
MTR-00412,ZONE-03,residential,10
MTR-00413,ZONE-03,residential,5
MTR-00414,ZONE-02,industrial,150
MTR-00415,ZONE-01,residential,10
MTR-00416,ZONE-07,residential,15
MTR-00417,ZONE-10,residential,10
MTR-00418,ZONE-02,commercial,50
MTR-00419,ZONE-03,residential,15
MTR-00420,ZONE-06,commercial,50
MTR-00421,ZONE-10,industrial,100
MTR-00422,ZONE-07,residential,15
MTR-00423,ZONE-08,residential,10
MTR-00424,ZONE-06,residential,15
MTR-00425,ZONE-05,residential,5
MTR-00426,ZONE-02,industrial,150
MTR-00427,ZONE-09,residential,15
MTR-00428,ZONE-09,residential,15
MTR-00429,ZONE-01,residential,5
MTR-00430,ZONE-08,residential,15
MTR-00431,ZONE-01,residential,10
MTR-00432,ZONE-08,commercial,50
MTR-00433,ZONE-09,residential,5
MTR-00434,ZONE-02,commercial,75
MTR-00435,ZONE-05,residential,5
MTR-00436,ZONE-02,industrial,150
MTR-00437,ZONE-06,residential,10
MTR-00438,ZONE-10,residential,10
MTR-00439,ZONE-01,residential,5
MTR-00440,ZONE-04,residential,15
MTR-00441,ZONE-10,commercial,25
MTR-00442,ZONE-04,residential,10
MTR-00443,ZONE-02,industrial,100
MTR-00444,ZONE-05,residential,10
MTR-00445,ZONE-06,residential,5
MTR-00446,ZONE-07,residential,5
